325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datum,Typ,Uppgift,#M,#O,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18 10:17:56,create,−2,uppgift,1,0,0,.,0m,0,4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18 10:17:54,create,−2,uppgift,1,0,.,0,0m,0.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18 10:17:46,create,2,-,uppgift,2,0,0,0m,7.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18 10:17:27,create,−2,uppgift,2,0,0,0m,1.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18 10:16:52,create,−2,uppgift,3,0,0,Om,1.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18 10:16:46,create,2,-,uppgift,2,0,0,0m,3.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18 10:16:25,create,2,-,uppgift,2,1,2,Om,17.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17 11:18:55,create,3a,-,uppgift,4,1,3,29m,54.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17 11:18:52,create,3a,-,uppgift,5,0,0,0m,1.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17 11:18:28,create,3a,-,uppgift,6,1,3,0m,22.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17 11:17:09,create,3a,-,uppgift,10,3,9,1m,16.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17 11:15:37,create,3a,-,uppgift,12,3,9,1m,30.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17 11:14:28,create,3a,-,uppgift,11,3,9,1m,6.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17 11:12:40,create,3a,-,uppgift,5,4,12,1m,44.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16 09:30:10,create,3a,-,uppgift,5,0,0,Om,4.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16 09:28:55,create,3a,-,uppgift,5,2,6,1m,12.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16 09:27:45,create,3a,-,uppgift,4,3,9,1m,7.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16 09:26:23,create,3a,-,uppgift,3,3,9,1m,20.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16 09:25:21,create,3a,-,uppgift,2,2,6,1m,1.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16 09:23:10,create,3a,-,uppgift,1,4,12,2m,9.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16 09:18:34,create,−2,uppgift,6,8,16,3m,53.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16 09:15:15,create,−2,uppgift,4,5,10,3m,17.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15 12:41:38,create,−2,uppgift,4,7,14,4m,4.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16 09:11:15,create,−2,uppgift,3,8,16,3m,58.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15 12:37:13,create,2,-,uppgift,3,9,18,4m,21.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15 12:30:50,create,−2,unnaift,2,10,20,6m,18.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15 12:37:13,create,−2,uppgift,3,9,18,.,Am,21.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15 12:30:50,create,−2,uppgift,2,10,20,6m,18.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15 12:29:32,create,−2,uppgift,1,3,1m,15.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14 12:39:48,create,−1,uppgift,7,11,11,8m,27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14 12:35:36,create,−1,uppgift,6,5,5,4m,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14 12:33:12,create,−1,uppgift,5,1,.,1,.,2m,23.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14 12:32:27,create,1-uppgift,4,1,.,1,0m,42.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14 12:32:03,create,−1,uppgift,3,0,0...0m,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14 12:30:16,create,−1,uppgift,2,2,2,1m,44,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11 06:53:41,create,−2,uppgift,6,0,0,.,7m,59.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11 06:53:29,create,−2,uppgift,3,0,.,0,.,0m,0.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-14 12:28:45,create,−1,uppgift,1,4,4,.,1m,28.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11 07:02:54,create,−1,uppgift,7,0,.,0,2m,20,3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11 07:01:51,create,−2,uppgift,5,0,.,0,Om,58.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11 06:53:26,create,−2,uppgift,5,0,0,.,0m,0.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11 06:53:23,create,−2,uppgift,4,0,.,0,0m,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-10 11:18:39,create,−2,uppgift,4,8,16,5m,57.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09 09:23:43,create,−2,uppgift,3,0,.,0,.,0m,1.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09 09:22:28,create,−2,uppgift,4,0,0,1m,14.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
